Name,Family,Genus,Common_Name
Nymphaea alba,Nymphaeaceae,Nymphaea,White Water-lily
Nuphar lutea,Nymphaeaceae,Nuphar,Yellow Water-lily
Victoria amazonica,Nymphaeaceae,Victoria,Giant Water Lily
Ceratophyllum demersum,Ceratophyllaceae,Ceratophyllum,Hornwort
Magnolia grandiflora,Magnoliaceae,Magnolia,"Southern Magnolia,Bull Bay"
Magnolia stellata,Magnoliaceae,Magnolia,Star Magnolia
Liriodendron tulipifera,Magnoliaceae,Liriodendron,"Tulip Tree,Yellow Poplar"
Magnolia figo,Magnoliaceae,Magnolia,Banana Shrub
Annona muricata,Annonaceae,Annona,"Soursop,Guanabana"
Annona squamosa,Annonaceae,Annona,"Sugar-apple,Sweetsop"
Asimina triloba,Annonaceae,Asimina,Pawpaw
Cananga odorata,Annonaceae,Cananga,Ylang-ylang
Laurus nobilis,Lauraceae,Laurus,"Bay Laurel,Sweet Bay"
Cinnamomum verum,Lauraceae,Cinnamomum,"Ceylon Cinnamon,True Cinnamon"
Cinnamomum cassia,Lauraceae,Cinnamomum,"Cassia,Chinese Cinnamon"
Persea americana,Lauraceae,Persea,Avocado
Sassafras albidum,Lauraceae,Sassafras,Sassafras
Lindera benzoin,Lauraceae,Lindera,Spicebush
Umbellularia californica,Lauraceae,Umbellularia,California Bay Laurel
Aristolochia macrophylla,Aristolochiaceae,Aristolochia,Dutchman's Pipe
Asarum canadense,Aristolochiaceae,Asarum,Wild Ginger
Piper nigrum,Piperaceae,Piper,Black Pepper
Piper methysticum,Piperaceae,Piper,Kava
Peperomia obtusifolia,Piperaceae,Peperomia,"Baby Rubber Plant,Pepper Face"
Saururus cernuus,Saururaceae,Saururus,Lizard's Tail
Houttuynia cordata,Saururaceae,Houttuynia,"Chameleon Plant,Fish Mint"
Pachysandra terminalis,Buxaceae,Pachysandra,Japanese Spurge
Buxus sempervirens,Buxaceae,Buxus,"Common Boxwood,European Box"
Sarcococca hookeriana,Buxaceae,Sarcococca,Sweet Box
Berberis vulgaris,Berberidaceae,Berberis,Common Barberry
Berberis thunbergii,Berberidaceae,Berberis,Japanese Barberry
Mahonia aquifolium,Berberidaceae,Mahonia,Oregon Grape
Podophyllum peltatum,Berberidaceae,Podophyllum,Mayapple
Nandina domestica,Berberidaceae,Nandina,Heavenly Bamboo
Epimedium grandiflorum,Berberidaceae,Epimedium,"Barrenwort,Bishop's Hat"
Caulophyllum thalictroides,Berberidaceae,Caulophyllum,Blue Cohosh
Plumbago auriculata,Plumbaginaceae,Plumbago,"Cape Leadwort,Blue Plumbago"
Armeria maritima,Plumbaginaceae,Armeria,"Thrift,Sea Pink"
Limonium latifolium,Plumbaginaceae,Limonium,"Sea Lavender,Statice"
Ceratostigma plumbaginoides,Plumbaginaceae,Ceratostigma,Hardy Plumbago
Diospyros kaki,Ebenaceae,Diospyros,"Japanese Persimmon,Kaki"
Diospyros virginiana,Ebenaceae,Diospyros,American Persimmon
Diospyros lotus,Ebenaceae,Diospyros,Date-plum
Styrax japonicus,Styracaceae,Styrax,Japanese Snowbell
Halesia carolina,Styracaceae,Halesia,Carolina Silverbell
Styrax benzoin,Styracaceae,Styrax,Benzoin resin tree
Camellia sinensis,Theaceae,Camellia,Tea Plant
Camellia japonica,Theaceae,Camellia,"Common Camellia,Japanese Camellia"
Stewartia pseudocamellia,Theaceae,Stewartia,Japanese Stewartia
Franklinia alatamaha,Theaceae,Franklinia,Franklin Tree
Gordonia lasianthus,Theaceae,Gordonia,Loblolly Bay
Actinidia deliciosa,Actinidiaceae,Actinidia,"Kiwifruit,Chinese Gooseberry"
Actinidia arguta,Actinidiaceae,Actinidia,"Hardy Kiwi,Kiwi Berry"
Clethra alnifolia,Clethraceae,Clethra,"Summersweet,Sweet Pepperbush"
Fuchsia magellanica,Onagraceae,Fuchsia,Hardy Fuchsia
Oenothera biennis,Onagraceae,Oenothera,Common Evening Primrose
Clarkia amoena,Onagraceae,Clarkia,"Godetia,Farewell to Spring"
Epilobium angustifolium,Onagraceae,Epilobium,"Fireweed,Rosebay Willowherb"
Gaura lindheimeri,Onagraceae,Gaura,"White Gaura,Bee-blossom"
Lythrum salicaria,Lythraceae,Lythrum,Purple Loosestrife
Punica granatum,Lythraceae,Punica,Pomegranate
Lagerstroemia indica,Lythraceae,Lagerstroemia,Crape Myrtle
Cuphea hyssopifolia,Lythraceae,Cuphea,"False Heather,Mexican Heather"
Lawsonia inermis,Lythraceae,Lawsonia,Henna Tree
Myrtus communis,Myrtaceae,Myrtus,Common Myrtle
Eucalyptus globulus,Myrtaceae,Eucalyptus,Tasmanian Blue Gum
Eucalyptus citriodora,Myrtaceae,Eucalyptus,Lemon-scented Gum
Syzygium aromaticum,Myrtaceae,Syzygium,Clove
Psidium guajava,Myrtaceae,Psidium,"Common Guava,Lemon Guava"
Acca sellowiana,Myrtaceae,Acca,"Feijoa,Pineapple Guava"
Callistemon citrinus,Myrtaceae,Callistemon,Crimson Bottlebrush
Leptospermum scoparium,Myrtaceae,Leptospermum,"Mānuka,Tea Tree"
Melaleuca alternifolia,Myrtaceae,Melaleuca,Tea Tree
Metrosideros excelsa,Myrtaceae,Metrosideros,"Pōhutukawa,New Zealand Christmas Tree"
Pimenta dioica,Myrtaceae,Pimenta,"Allspice,Jamaica Pepper"
Syzygium jambos,Myrtaceae,Syzygium,Rose Apple
Ugni molinae,Myrtaceae,Ugni,"Chilean Guava,Strawberry Myrtle"
Pimenta racemosa,Myrtaceae,Pimenta,Bay Rum Tree
Vitis vinifera,Vitaceae,Vitis,Common Grape Vine
Vitis labrusca,Vitaceae,Vitis,"Fox Grape,Concord Grape"
Vitis riparia,Vitaceae,Vitis,Riverbank Grape
Parthenocissus quinquefolia,Vitaceae,Parthenocissus,Virginia Creeper
Parthenocissus tricuspidata,Vitaceae,Parthenocissus,"Boston Ivy,Japanese Creeper"
Ampelopsis brevipedunculata,Vitaceae,Ampelopsis,Porcelain Berry
Cissus rhombifolia,Vitaceae,Cissus,Grape Ivy
Geranium sanguineum,Geraniaceae,Geranium,Bloody Crane's-bill
Geranium maculatum,Geraniaceae,Geranium,"Spotted Geranium,Wild Crane's-bill"
Erodium cicutarium,Geraniaceae,Erodium,Common Stork's-bill
Pelargonium zonale,Geraniaceae,Pelargonium,"Zonal Geranium,Horseshoe Geranium"
Pelargonium peltatum,Geraniaceae,Pelargonium,Ivy-leaved Geranium
Pelargonium graveolens,Geraniaceae,Pelargonium,Rose Geranium
Tropaeolum majus,Tropaeolaceae,Tropaeolum,"Garden Nasturtium,Indian Cress"
Oxalis acetosella,Oxalidaceae,Oxalis,Wood Sorrel
Oxalis corniculata,Oxalidaceae,Oxalis,Creeping Woodsorrel
Oxalis tuberosa,Oxalidaceae,Oxalis,"Oca,New Zealand Yam"
Averrhoa carambola,Oxalidaceae,Averrhoa,"Starfruit,Carambola"
Linum usitatissimum,Linaceae,Linum,"Flax,Linseed"
Linum grandiflorum,Linaceae,Linum,"Flowering Flax,Scarlet Flax"
Erythroxylum coca,Erythroxylaceae,Erythroxylum,Coca Plant
Zanthoxylum americanum,Rutaceae,Zanthoxylum,"Prickly Ash,Toothache Tree"
Citrus × sinensis,Rutaceae,Citrus,Sweet Orange
Citrus × limon,Rutaceae,Citrus,Lemon
Citrus aurantiifolia,Rutaceae,Citrus,"Key Lime,Mexican Lime"
Citrus reticulata,Rutaceae,Citrus,"Mandarin Orange,Tangerine"
Citrus × paradisi,Rutaceae,Citrus,Grapefruit
Citrus medica,Rutaceae,Citrus,Citron
Citrus hystrix,Rutaceae,Citrus,"Kaffir Lime,Makrut Lime"
Ruta graveolens,Rutaceae,Ruta,Common Rue
Choisya ternata,Rutaceae,Choisya,Mexican Orange Blossom
Dictamnus albus,Rutaceae,Dictamnus,"Burning Bush,Gas Plant"
Citrus japonica,Rutaceae,Citrus,"Kumquat,Marumi Kumquat"
Murraya paniculata,Rutaceae,Murraya,"Orange Jessamine,Mock Orange"
Murraya koenigii,Rutaceae,Murraya,Curry leaf tree
Phellodendron amurense,Rutaceae,Phellodendron,Amur Cork Tree
Poncirus trifoliata,Rutaceae,Poncirus,"Japanese Bitter-orange,Hardy Orange"
Skimmia japonica,Rutaceae,Skimmia,Japanese Skimmia
Melia azedarach,Meliaceae,Melia,"Chinaberry,Persian Lilac"
Azadirachta indica,Meliaceae,Azadirachta,Neem Tree
Swietenia mahagoni,Meliaceae,Swietenia,West Indian Mahogany
Toona ciliata,Meliaceae,Toona,Australian Red Cedar
Lansium domesticum,Meliaceae,Lansium,"Langsat,Lanzones"
Sandoricum koetjape,Meliaceae,Sandoricum,Santol
Ailanthus altissima,Simaroubaceae,Ailanthus,Tree of Heaven
Bursera simaruba,Burseraceae,Bursera,"Gumbo-limbo,Tourist Tree"
Boswellia sacra,Burseraceae,Boswellia,Frankincense Tree
Commiphora myrrha,Burseraceae,Commiphora,Myrrh Tree
Pistacia vera,Anacardiaceae,Pistacia,Pistachio
Mangifera indica,Anacardiaceae,Mangifera,Mango
Anacardium occidentale,Anacardiaceae,Anacardium,Cashew
Toxicodendron radicans,Anacardiaceae,Toxicodendron,Poison Ivy
Rhus typhina,Anacardiaceae,Rhus,Staghorn Sumac
Schinus molle,Anacardiaceae,Schinus,Peruvian Peppertree
Pistacia lentiscus,Anacardiaceae,Pistacia,Mastic Tree
Spondias dulcis,Anacardiaceae,Spondias,"Ambarella,June Plum"
Cotinus coggygria,Anacardiaceae,Cotinus,"Smoke Tree,Smokebush"
Harpephyllum caffrum,Anacardiaceae,Harpephyllum,Wild Plum
Ilex aquifolium,Aquifoliaceae,Ilex,"European Holly,Common Holly"
Ilex opaca,Aquifoliaceae,Ilex,American Holly
Ilex crenata,Aquifoliaceae,Ilex,"Japanese Holly,Box-leaved Holly"
Ilex paraguariensis,Aquifoliaceae,Ilex,Yerba Maté
Ilex vomitoria,Aquifoliaceae,Ilex,Yaupon Holly
Euonymus europaeus,Celastraceae,Euonymus,"Spindle,European Spindle"
Euonymus alatus,Celastraceae,Euonymus,"Winged Spindle,Burning Bush"
Celastrus scandens,Celastraceae,Celastrus,American Bittersweet
Catha edulis,Celastraceae,Catha,Khat
Daphne mezereum,Thymelaeaceae,Daphne,Mezereon
Daphne odora,Thymelaeaceae,Daphne,Winter Daphne
Edgeworthia chrysantha,Thymelaeaceae,Edgeworthia,Paperbush
Dirca palustris,Thymelaeaceae,Dirca,Leatherwood
Protea cynaroides,Proteaceae,Protea,King Protea
Banksia serrata,Proteaceae,Banksia,"Old Man Banksia,Saw Banksia"
Grevillea robusta,Proteaceae,Grevillea,Silky Oak
Hakea laurina,Proteaceae,Hakea,Pincushion Hakea
Leucadendron argenteum,Proteaceae,Leucadendron,Silver Tree
Leucospermum cordifolium,Proteaceae,Leucospermum,Nodding Pincushion
Macadamia integrifolia,Proteaceae,Macadamia,Macadamia Nut
Telopea speciosissima,Proteaceae,Telopea,Waratah
Viscum album,Santalaceae,Viscum,European Mistletoe
Santalum album,Santalaceae,Santalum,Indian Sandalwood
Cornus mas,Cornaceae,Cornus,Cornelian Cherry Dogwood
Cornus florida,Cornaceae,Cornus,Flowering Dogwood
Cornus kousa,Cornaceae,Cornus,Kousa Dogwood
Davidia involucrata,Nyssaceae,Davidia,"Dove Tree,Handkerchief Tree"
Nyssa sylvatica,Nyssaceae,Nyssa,"Black Gum,Tupelo"
Aucuba japonica,Garryaceae,Aucuba,"Spotted Laurel,Japanese Laurel"
Garrya elliptica,Garryaceae,Garrya,Silk Tassel Bush
Vinca minor,Apocynaceae,Vinca,Lesser Periwinkle
Catharanthus roseus,Apocynaceae,Catharanthus,Madagascar Periwinkle
Nerium oleander,Apocynaceae,Nerium,Oleander
Plumeria rubra,Apocynaceae,Plumeria,Frangipani
Asclepias syriaca,Apocynaceae,Asclepias,Common Milkweed
Asclepias tuberosa,Apocynaceae,Asclepias,Butterfly Weed
Carissa macrocarpa,Apocynaceae,Carissa,Natal Plum
Hoya carnosa,Apocynaceae,Hoya,Wax Plant
Mandevilla sanderi,Apocynaceae,Mandevilla,Brazilian Jasmine
Rauvolfia serpentina,Apocynaceae,Rauvolfia,Indian Snakeroot
Stapelia gigantea,Apocynaceae,Stapelia,Giant Carrion Flower
Trachelospermum jasminoides,Apocynaceae,Trachelospermum,Star Jasmine
Adenium obesum,Apocynaceae,Adenium,Desert Rose
Coffea arabica,Rubiaceae,Coffea,Arabica Coffee
Coffea canephora,Rubiaceae,Coffea,Robusta Coffee
Gardenia jasminoides,Rubiaceae,Gardenia,"Common Gardenia,Cape Jasmine"
Galium aparine,Rubiaceae,Galium,"Cleavers,Goosegrass"
Rubia tinctorum,Rubiaceae,Rubia,"Madder,Common Madder"
Galium odoratum,Rubiaceae,Galium,Sweet Woodruff
Cephalanthus occidentalis,Rubiaceae,Cephalanthus,Buttonbush
Cinchona officinalis,Rubiaceae,Cinchona,Quinine Tree
Coprosma repens,Rubiaceae,Coprosma,Mirror Plant
Hamelia patens,Rubiaceae,Hamelia,Firebush
Ixora coccinea,Rubiaceae,Ixora,Jungle Geranium
Mitchella repens,Rubiaceae,Mitchella,Partridge Berry
Morinda citrifolia,Rubiaceae,Morinda,"Noni,Indian Mulberry"
Pentas lanceolata,Rubiaceae,Pentas,Egyptian Starcluster
Psychotria viridis,Rubiaceae,Psychotria,Chacruna
Uncaria tomentosa,Rubiaceae,Uncaria,Cat's Claw
Pausinystalia johimbe,Rubiaceae,Pausinystalia,Yohimbe
Gentiana lutea,Gentianaceae,Gentiana,Great Yellow Gentian
Gentiana acaulis,Gentianaceae,Gentiana,Stemless Gentian
Eustoma grandiflorum,Gentianaceae,Eustoma,Lisianthus
Centaurium erythraea,Gentianaceae,Centaurium,Common Centaury
Swertia chirata,Gentianaceae,Swertia,Chirayita
Strychnos nux-vomica,Loganiaceae,Strychnos,Strychnine Tree
Gelsemium sempervirens,Gelsemiaceae,Gelsemium,Yellow Jessamine
Buddleja davidii,Scrophulariaceae,Buddleja,Butterfly Bush
Verbascum thapsus,Scrophulariaceae,Verbascum,Great Mullein
Scrophularia nodosa,Scrophulariaceae,Scrophularia,Figwort
Lantana camara,Verbenaceae,Lantana,Common Lantana
Verbena officinalis,Verbenaceae,Verbena,Common Vervain
Verbena bonariensis,Verbenaceae,Verbena,Purpletop Vervain
Aloysia citrodora,Verbenaceae,Aloysia,Lemon Verbena
Duranta erecta,Verbenaceae,Duranta,Golden Dewdrop
Lippia graveolens,Verbenaceae,Lippia,Mexican Oregano
Petrea volubilis,Verbenaceae,Petrea,Purple Wreath
Callicarpa americana,Lamiaceae,Callicarpa,American Beautyberry
Clerodendrum trichotomum,Lamiaceae,Clerodendrum,Harlequin Glorybower
Acanthus mollis,Acanthaceae,Acanthus,Bear's Breeches
Justicia brandegeeana,Acanthaceae,Justicia,Shrimp Plant
Ruellia simplex,Acanthaceae,Ruellia,Mexican Petunia
Hypoestes phyllostachya,Acanthaceae,Hypoestes,Polka Dot Plant
Thunbergia alata,Acanthaceae,Thunbergia,Black-eyed Susan Vine
Aphelandra squarrosa,Acanthaceae,Aphelandra,Zebra Plant
Fittonia albivenis,Acanthaceae,Fittonia,Nerve Plant
Sesamum indicum,Pedaliaceae,Sesamum,Sesame
Harpagophytum procumbens,Pedaliaceae,Harpagophytum,Devil's Claw
Proboscidea louisianica,Martyniaceae,Proboscidea,"Ram's Horn,Common Devil's Claw"
Catalpa bignonioides,Bignoniaceae,Catalpa,"Southern Catalpa,Indian Bean Tree"
Campsis radicans,Bignoniaceae,Campsis,"Trumpet Vine,Trumpet Creeper"
Jacaranda mimosifolia,Bignoniaceae,Jacaranda,Blue Jacaranda
Handroanthus impetiginosus,Bignoniaceae,Handroanthus,"Pink Trumpet Tree,Pau d'Arco"
Kigelia africana,Bignoniaceae,Kigelia,Sausage Tree
Radermachera sinica,Bignoniaceae,Radermachera,China Doll
Spathodea campanulata,Bignoniaceae,Spathodea,African Tulip Tree
Tecoma stans,Bignoniaceae,Tecoma,"Yellow Bells,Esperanza"
Paulownia tomentosa,Paulowniaceae,Paulownia,"Empress Tree,Princess Tree"
Gesneria cuneifolia,Gesneriaceae,Gesneria,Fire-cracker Plant
Saintpaulia ionantha,Gesneriaceae,Saintpaulia,African Violet
Sinningia speciosa,Gesneriaceae,Sinningia,Gloxinia
Aeschynanthus radicans,Gesneriaceae,Aeschynanthus,Lipstick Plant
Columnea gloriosa,Gesneriaceae,Columnea,Goldfish Plant
Episcia cupreata,Gesneriaceae,Episcia,Flame Violet
Streptocarpus saxorum,Gesneriaceae,Streptocarpus,Cape Primrose
Calceolaria herbeohybrida,Calceolariaceae,Calceolaria,"Slipperwort,Pocketbook Plant"
Plantago major,Plantaginaceae,Plantago,Broadleaf Plantain
Plantago lanceolata,Plantaginaceae,Plantago,Ribwort Plantain
Digitalis purpurea,Plantaginaceae,Digitalis,Foxglove
Antirrhinum majus,Plantaginaceae,Antirrhinum,Snapdragon
Veronica chamaedrys,Plantaginaceae,Veronica,Germander Speedwell
Hebe speciosa,Plantaginaceae,Hebe,Showy Hebe
Linaria vulgaris,Plantaginaceae,Linaria,"Common Toadflax,Butter-and-eggs"
Penstemon digitalis,Plantaginaceae,Penstemon,Foxglove Beardtongue
Bacopa monnieri,Plantaginaceae,Bacopa,"Water Hyssop,Brahmi"
Fallopia japonica,Polygonaceae,Fallopia,Japanese Knotweed
Rheum rhabarbarum,Polygonaceae,Rheum,Rhubarb
Rumex crispus,Polygonaceae,Rumex,Curly Dock
Rumex acetosa,Polygonaceae,Rumex,Garden Sorrel
Fagopyrum esculentum,Polygonaceae,Fagopyrum,Buckwheat
Persicaria amplexicaulis,Polygonaceae,Persicaria,Red Bistort
Coccoloba uvifera,Polygonaceae,Coccoloba,Sea Grape
Muehlenbeckia axillaris,Polygonaceae,Muehlenbeckia,Creeping Wire Vine
Polygonum aviculare,Polygonaceae,Polygonum,Prostrate Knotweed
Convolvulus arvensis,Convolvulaceae,Convolvulus,Field Bindweed
Ipomoea batatas,Convolvulaceae,Ipomoea,Sweet Potato
Ipomoea purpurea,Convolvulaceae,Ipomoea,Common Morning Glory
Calystegia sepium,Convolvulaceae,Calystegia,Hedge Bindweed
Cuscuta europaea,Convolvulaceae,Cuscuta,Dodder
Ipomoea aquatica,Convolvulaceae,Ipomoea,"Water Spinach,Kangkong"
Ipomoea alba,Convolvulaceae,Ipomoea,Moonflower
Dichondra repens,Convolvulaceae,Dichondra,Kidney Weed
Euphorbia pulcherrima,Euphorbiaceae,Euphorbia,Poinsettia
Euphorbia milii,Euphorbiaceae,Euphorbia,Crown-of-thorns
Ricinus communis,Euphorbiaceae,Ricinus,"Castor Bean,Castor Oil Plant"
Hevea brasiliensis,Euphorbiaceae,Hevea,Rubber Tree
Manihot esculenta,Euphorbiaceae,Manihot,"Cassava,Yuca,Manioc"
Codiaeum variegatum,Euphorbiaceae,Codiaeum,"Croton,Garden Croton"
Acalypha hispida,Euphorbiaceae,Acalypha,Chenille Plant
Euphorbia tirucalli,Euphorbiaceae,Euphorbia,Pencil Cactus
Jatropha curcas,Euphorbiaceae,Jatropha,Physic Nut
Mercurialis perennis,Euphorbiaceae,Mercurialis,Dog's Mercury
Viola tricolor,Violaceae,Viola,"Wild Pansy,Heartsease"
Viola odorata,Violaceae,Viola,Sweet Violet
Viola riviniana,Violaceae,Viola,Common Dog-violet
Viola × wittrockiana,Violaceae,Viola,Garden Pansy
Hypericum perforatum,Hypericaceae,Hypericum,St. John's Wort
Hypericum calycinum,Hypericaceae,Hypericum,Aaron's Beard
Cistus ladanifer,Cistaceae,Cistus,Gum Rockrose
Helianthemum nummularium,Cistaceae,Helianthemum,Common Rockrose
Bixa orellana,Bixaceae,Bixa,"Achiote,Annatto Tree"
Flacourtia indica,Salicaceae,Flacourtia,Governor's Plum
Idesia polycarpa,Salicaceae,Idesia,Iigiri Tree
Salix caprea,Salicaceae,Salix,"Goat Willow,Pussy Willow"
Passiflora caerulea,Passifloraceae,Passiflora,Blue Passion Flower
Passiflora edulis,Passifloraceae,Passiflora,Passion Fruit
Turnera diffusa,Passifloraceae,Turnera,Damiana
Carica papaya,Caricaceae,Carica,Papaya
Begonia cucullata,Begoniaceae,Begonia,Wax Begonia
Begonia rex-cultorum,Begoniaceae,Begonia,Rex Begonia
Begonia × tuberhybrida,Begoniaceae,Begonia,Tuberous Begonia
Tilia cordata,Malvaceae,Tilia,"Small-leaved Lime,Littleleaf Linden"
Tilia platyphyllos,Malvaceae,Tilia,"Large-leaved Lime,Bigleaf Linden"
Hibiscus rosa-sinensis,Malvaceae,Hibiscus,Chinese Hibiscus
Hibiscus syriacus,Malvaceae,Hibiscus,Rose of Sharon
Gossypium hirsutum,Malvaceae,Gossypium,Upland Cotton
Theobroma cacao,Malvaceae,Theobroma,"Cacao Tree,Cocoa Tree"
Abelmoschus esculentus,Malvaceae,Abelmoschus,Okra
Alcea rosea,Malvaceae,Alcea,Hollyhock
Althaea officinalis,Malvaceae,Althaea,Marsh-mallow
Bombax ceiba,Malvaceae,Bombax,Red Silk-cotton Tree
Ceiba pentandra,Malvaceae,Ceiba,Kapok Tree
Cola acuminata,Malvaceae,Cola,Kola Nut
Corchorus olitorius,Malvaceae,Corchorus,Jute Mallow
Durio zibethinus,Malvaceae,Durio,Durian
Hibiscus sabdariffa,Malvaceae,Hibiscus,"Roselle,Jamaican Sorrel"
Lavatera trimestris,Malvaceae,Lavatera,"Annual Mallow,Rose Mallow"
Malva sylvestris,Malvaceae,Malva,Common Mallow
Ochroma pyramidale,Malvaceae,Ochroma,Balsa Tree
Pachira aquatica,Malvaceae,Pachira,Money Tree
Thespesia populnea,Malvaceae,Thespesia,Portia Tree
Heuchera sanguinea,Saxifragaceae,Heuchera,Coral Bells
Tiarella cordifolia,Saxifragaceae,Tiarella,Foamflower
Astilbe chinensis,Saxifragaceae,Astilbe,"Chinese Astilbe,False Goat's Beard"
Bergenia cordifolia,Saxifragaceae,Bergenia,"Heart-leaved Bergenia,Pigsqueak"
Saxifraga stolonifera,Saxifragaceae,Saxifraga,"Strawberry Begonia,Creeping Saxifrage"
Darmera peltata,Saxifragaceae,Darmera,"Indian Rhubarb,Umbrella Plant"
Mitella diphylla,Saxifragaceae,Mitella,"Miterwort,Bishop's Cap"
Rodgersia podophylla,Saxifragaceae,Rodgersia,Rodger's Flower
Tellima grandiflora,Saxifragaceae,Tellima,Fringe-cups
Tolmiea menziesii,Saxifragaceae,Tolmiea,"Piggyback Plant,Youth-on-age"
Ribes uva-crispa,Grossulariaceae,Ribes,Gooseberry
Ribes nigrum,Grossulariaceae,Ribes,Blackcurrant
Ribes rubrum,Grossulariaceae,Ribes,Redcurrant
Ribes sanguineum,Grossulariaceae,Ribes,Flowering Currant
Hamamelis virginiana,Hamamelidaceae,Hamamelis,Witch-hazel
Liquidambar styraciflua,Altingiaceae,Liquidambar,Sweetgum
Parrotia persica,Hamamelidaceae,Parrotia,Persian Ironwood
Fothergilla major,Hamamelidaceae,Fothergilla,Large Fothergilla
Loropetalum chinense,Hamamelidaceae,Loropetalum,Chinese Fringe-flower
Crassula ovata,Crassulaceae,Crassula,"Jade Plant,Money Plant"
Sedum acre,Crassulaceae,Sedum,"Goldmoss Stonecrop,Biting Stonecrop"
Sempervivum tectorum,Crassulaceae,Sempervivum,"Hens and Chicks,Common Houseleek"
Echeveria elegans,Crassulaceae,Echeveria,Mexican Snowball
Kalanchoe blossfeldiana,Crassulaceae,Kalanchoe,"Flaming Katy,Christmas Kalanchoe"
Kalanchoe daigremontiana,Crassulaceae,Kalanchoe,Mother of Thousands
Rhodiola rosea,Crassulaceae,Rhodiola,"Roseroot,Golden Root"
Sedum telephium,Crassulaceae,Sedum,"Orpine,Livelong"
Sedum morganianum,Crassulaceae,Sedum,"Donkey's Tail,Burro's Tail"
Graptopetalum paraguayense,Crassulaceae,Graptopetalum,Ghost Plant
Abutilon pictum,Malvaceae,Abutilon,Flowering Maple
Aethionema cordifolium,Brassicaceae,Aethionema,Lebanese stonecress
Agonis flexuosa,Myrtaceae,Agonis,Peppermint Tree
Aichryson laxum,Crassulaceae,Aichryson,Tree of Love
Akebia quinata,Lardizabalaceae,Akebia,Chocolate Vine
Alangium platanifolium,Cornaceae,Alangium,Plane-leaf Alangium
Alectryon excelsus,Sapindaceae,Alectryon,Tītoki
Alliaria petiolata,Brassicaceae,Alliaria,Garlic Mustard
Alonsoa meridionalis,Scrophulariaceae,Alonsoa,Mask Flower
Alyogyne huegelii,Malvaceae,Alyogyne,Blue Hibiscus
Amsinckia menziesii,Boraginaceae,Amsinckia,Fiddleneck
Anacampseros telephiastrum,Anacampserotaceae,Anacampseros,Love Plant
Anagallis arvensis,Primulaceae,Anagallis,Scarlet Pimpernel
Anagyris foetida,Fabaceae,Anagyris,Stinking Bean Trefoil
Anchusa azurea,Boraginaceae,Anchusa,Italian Bugloss
Androsace lanuginosa,Primulaceae,Androsace,Woolly Rock Jasmine
Anemonella thalictroides,Ranunculaceae,Anemonella,Rue-anemone
Anisodontea capensis,Malvaceae,Anisodontea,Cape Mallow
Annona cherimola,Annonaceae,Annona,Cherimoya
Annona reticulata,Annonaceae,Annona,Custard-apple
Anthyllis vulneraria,Fabaceae,Anthyllis,Kidney Vetch
Apocynum cannabinum,Apocynaceae,Apocynum,"Indian Hemp,Dogbane"
Aquilegia canadensis,Ranunculaceae,Aquilegia,Wild Columbine
Aralia spinosa,Araliaceae,Aralia,Devil's Walkingstick
Arbutus menziesii,Ericaceae,Arbutus,Pacific Madrone
Arctostaphylos manzanita,Ericaceae,Arctostaphylos,Common Manzanita
Arctotheca calendula,Asteraceae,Arctotheca,Cape Weed
Arctotis stoechadifolia,Asteraceae,Arctotis,African Daisy
Arenaria balearica,Caryophyllaceae,Arenaria,Balearic Sandwort
Argemone mexicana,Papaveraceae,Argemone,Mexican Prickly Poppy
Argyranthemum frutescens,Asteraceae,Argyranthemum,Marguerite Daisy
Aruncus dioicus,Rosaceae,Aruncus,Goat's Beard
Asarina procumbens,Plantaginaceae,Asarina,Creeping Snapdragon
Asarum europaeum,Aristolochiaceae,Asarum,European wild ginger
Asclepias curassavica,Apocynaceae,Asclepias,Tropical Milkweed
Aster amellus,Asteraceae,Aster,European Michaelmas-daisy
Astilbe × arendsii,Saxifragaceae,Astilbe,Arends's Astilbe
Astragalus canadensis,Fabaceae,Astragalus,Canadian Milkvetch
Astrantia carniolica,Apiaceae,Astrantia,Carnic Masterwort
Atriplex halimus,Amaranthaceae,Atriplex,"Sea Orach,Saltbush"
Ballota nigra,Lamiaceae,Ballota,Black Horehound
Baptisia australis,Fabaceae,Baptisia,Blue Wild Indigo
Barbarea verna,Brassicaceae,Barbarea,Land Cress
Bartonia verna,Gentianaceae,Bartonia,White Bartonia
Bassia scoparia,Amaranthaceae,Bassia,"Summer Cypress,Kochia"
Begonia grandis,Begoniaceae,Begonia,Hardy Begonia
Berlandiera lyrata,Asteraceae,Berlandiera,Chocolate Flower
Berula erecta,Apiaceae,Berula,Lesser Water-parsnip
Bidens ferulifolia,Asteraceae,Bidens,Apache Beggarticks
Bignonia capreolata,Bignoniaceae,Bignonia,Crossvine
Blephilia ciliata,Lamiaceae,Blephilia,Downy Wood Mint
Bocconia frutescens,Papaveraceae,Bocconia,Plume Poppy
Boltonia asteroides,Asteraceae,Boltonia,White Doll's Daisy
Borago officinalis,Boraginaceae,Borago,"Borage,Starflower"
Bougainvillea glabra,Nyctaginaceae,Bougainvillea,Paper Flower
Bouvardia ternifolia,Rubiaceae,Bouvardia,Firecracker Bush
Brachychiton acerifolius,Malvaceae,Brachychiton,Illawarra Flame Tree
Brachyglottis greyi,Asteraceae,Brachyglottis,Daisy Bush
Brasenia schreberi,Cabombaceae,Brasenia,Water-shield
